,0
1017,28155
1018,28137
1019,21113
1020,18159
1021,21025
1022,37089
1023,42037
1024,51105
1025,42043
1026,18137
1027,18143
1028,51065
1029,37105
1030,37077
1031,37059
1032,42051
1033,18105
1034,51019
1035,37051
1036,51009
1037,42107
1038,42085
1039,18109
1040,37179
1041,22001
1042,13267
1043,21185
1044,28115
1045,21093
1046,37165
1047,28133
1048,26143
1049,51047
1050,18133
1051,37039
1052,28017
1053,37155
1054,28105
1055,28097
1056,37127
1057,51165
1058,51109
1059,19193
1060,24037
1061,39027
1062,39019
1063,13069
1064,34033
1065,13035
1066,47083
1067,31047
1068,16085
1069,46013
1070,19171
1071,19167
1072,35045
1073,19163
1074,17019
1075,47053
1076,17177
1077,17161
1078,47051
1079,12035
1080,26055
1081,26051
1082,12023
1083,26047
1084,13065
1085,47023
1086,39053
1087,17105
1088,13013
1089,12027
1090,39057
1091,39063
1092,19157
1093,47105
1094,12007
1095,36089
1096,13289
1097,19033
1098,39173
1099,13055
1100,33019
1101,47135
1102,53075
1103,47115
1104,39133
1105,36053
1106,21003
1107,47107
1108,40103
1109,45029
1110,17085
1111,20085
1112,24015
1113,20123
1114,36023
1115,40101
1116,27079
1117,19109
1118,24023
1119,28073
1120,8119
1121,28135
1122,1059
1123,8067
1124,13195
1125,24035
1126,21141
1127,8075
1128,28091
1129,53017
1130,2110
1131,53001
1132,32005
1133,22083
1134,29047
1135,29049
1136,22061
1137,13229
1138,22069
1139,45043
1140,20011
1141,45023
1142,29213
1143,1069
1144,29187
1145,18037
1146,29107
1147,36075
1148,48343
1149,36077
1150,29135
1151,29157
1152,36011
1153,22043
1154,45073
1155,1123
1156,46103
1157,31177
1158,22003
1159,17133
1160,29001
1161,13211
1162,22099
1163,46085
1164,46065
1165,13145
1166,2170
1167,31119
1168,46029
1169,23013
1170,29027
1171,35005
1172,29029
1173,26121
1174,13179
1175,37001
1176,19081
1177,39097
1178,38099
1179,27011
1180,13033
1181,51163
1182,39091
1183,37181
1184,39083
1185,42021
1186,27073
1187,51590
1188,27021
1189,26033
1190,40123
1191,19179
1192,41027
1193,26077
1194,55027
1195,27141
1196,49021
1197,39167
1198,20111
1199,39143
1200,26123
1201,13047
1202,13303
1203,35009
1204,51550
1205,48215
1206,1103
1207,51083
1208,40097
1209,42015
1210,13133
1211,46011
1212,54107
1213,35006
1214,38025
1215,48181
1216,19181
1217,39021
1218,41007
1219,19019
1220,5139
1221,36015
1222,19031
1223,36073
1224,22115
1225,13235
1226,18031
1227,18029
1228,45025
1229,42005
1230,42025
1231,29155
1232,5137
1233,54077
1234,5147
1235,30043
1236,42033
1237,5145
1238,48245
1239,18013
1240,18051
1241,23027
1242,13007
1243,31155
1244,13039
1245,16031
1246,6009
1247,48071
1248,47071
1249,20043
1250,8029
1251,13199
1252,26073
1253,5033
1254,47103
1255,8043
1256,40145
1257,26079
1258,26087
1259,8055
1260,47113
1261,54003
1262,5029
1263,26101
1264,47133
1265,5027
1266,13193
1267,47061
1268,5037
1269,20149
1270,26059
1271,39033
1272,48145
1273,5109
1274,39045
1275,5075
1276,48355
1277,5059
1278,16005
1279,13017
1280,20207
1281,17063
1282,13205
1283,47025
1284,39071
1285,54033
1286,48091
1287,47041
1288,1001
1289,13155
1290,13159
1291,13029
1292,29099
1293,19099
1294,13253
1295,13257
1296,21145
1297,48469
1298,42067
1299,6047
1300,18153
1301,18127
1302,21165
1303,13111
1304,29031
1305,18173
1306,18107
1307,28101
1308,21159
1309,28103
1310,18093
1311,37175
1312,28019
1313,21177
1314,18149
1315,13071
1316,13081
1317,21213
1318,37123
1319,18071
1320,42111
1321,18115
1322,6051
1323,48367
1324,50019
1325,56037
1326,29071
1327,37151
1328,50005
1329,13157
1330,56001
1331,48471
1332,26159
1333,39087
1334,20177
1335,21231
1336,5043
1337,17041
1338,39169
1339,37061
1340,48099
1341,46083
1342,37091
1343,46093
1344,54081
1345,37131
1346,12039
1347,51069
1348,48149
1349,44007
1350,37111
1351,48143
1352,17137
1353,54069
1354,48445
1355,44005
1356,32019
1357,48133
1358,39047
1359,17123
1360,47003
1361,48451
1362,13275
1363,54049
1364,54045
1365,44003
1366,25007
1367,37107
1368,50015
1369,16049
1370,48481
1371,13311
1372,21085
1373,13183
1374,37027
1375,13317
1376,1009
1377,48015
1378,48013
1379,37023
1380,1033
1381,26103
1382,13087
1383,39147
1384,40019
1385,13091
1386,8089
1387,13299
1388,37015
1389,6101
1390,1013
1391,1029
1392,47185
1393,21125
1394,1027
1395,1019
1396,26091
1397,13169
1398,39129
1399,1047
1400,53019
1401,28013
1402,28117
1403,26069
1404,16043
1405,55081
1406,16051
1407,48493
1408,42123
1409,47073
1410,24029
1411,20133
1412,16069
1413,16075
1414,48053
1415,47101
1416,37045
1417,21147
1418,39107
1419,1021
1420,20037
1421,53047
1422,48031
1423,44009
1424,44001
1425,48165
1426,48231
1427,29205
1428,18033
1429,40037
1430,13269
1431,1131
1432,48277
1433,22053
1434,38089
1435,29053
1436,22049
1437,51161
1438,40041
1439,48259
1440,48257
1441,18139
1442,48395
1443,42073
1444,51171
1445,36033
1446,55043
1447,40113
1448,42081
1449,36013
1450,48291
1451,48293
1452,51137
1453,51113
1454,27169
1455,48361
1456,19011
1457,18073
1458,38031
1459,29119
1460,29139
1461,1055
1462,22067
1463,48331
1464,51115
1465,48299
1466,29145
1467,48323
1468,42059
1469,29165
1470,22111
1471,29173
1472,29175
1473,51125
1474,51135
1475,22127
1476,45067
1477,30041
1478,41041
1479,26151
1480,31053
1481,1109
1482,27049
1483,1107
1484,55057
1485,40013
1486,45087
1487,45089
1488,51683
1489,1095
1490,35039
1491,48199
1492,48185
1493,48187
1494,35015
1495,51630
1496,6027
1497,40137
1498,1113
1499,48223
1500,1079
1501,48409
1502,55049
1503,40001
1504,48189
1505,40125
1506,5121
1507,40035
1508,22113
1509,5017
1510,22077
1511,1041
1512,47121
1513,5085
1514,20087
1515,39175
1516,38051
1517,38049
1518,22065
1519,1037
1520,21015
1521,1091
1522,18045
1523,39009
1524,19007
1525,17179
1526,40135
1527,21107
1528,23007
1529,42039
1530,39081
1531,18129
1532,17055
1533,21233
1534,41057
1535,20191
1536,18171
1537,19145
1538,42115
1539,40115
1540,21167
1541,47171
1542,22037
1543,37013
1544,19133
1545,21225
1546,41065
1547,19057
1548,47015
1549,42063
1550,5061
1551,1049
1552,1085
1553,47111
1554,19123
1555,22059
1556,39119
1557,42013
1558,18117
1559,40111
1560,47005
1561,21161
1562,40081
1563,18099
1564,19043
1565,40031
1566,1023
1567,48255
1568,51061
1569,13037
1570,54053
1571,26067
1572,48239
1573,31079
1574,56019
1575,28009
1576,31099
1577,56017
1578,48465
1579,51007
1580,26053
1581,4012
1582,55125
1583,55097
1584,54097
1585,48057
1586,49029
1587,30101
1588,30059
1589,26155
1590,13189
1591,29035
1592,29017
1593,13143
1594,29015
1595,13119
1596,28161
1597,29207
1598,30053
1599,13279
1600,28119
1601,28075
1602,26129
1603,26127
1604,26113
1605,26107
1606,51750
1607,12133
1608,27143
1609,48005
1610,48397
1611,27167
1612,48317
1613,51175
1614,27067
1615,55019
1616,4015
1617,51650
1618,51143
1619,1011
1620,51131
1621,16037
1622,51149
1623,51079
1624,8121
1625,51735
1626,48347
1627,51187
1628,51191
1629,51680
1630,8063
1631,51099
1632,8105
1633,27087
1634,13293
1635,48489
1636,28125
1637,28069
1638,28099
1639,46003
1640,19095
1641,19187
1642,19023
1643,48381
1644,29009
1645,53059
1646,18135
1647,40015
1648,19083
1649,1133
1650,29021
1651,40021
1652,48503
1653,40023
1654,5005
1655,29041
1656,18087
1657,29005
1658,27007
1659,18183
1660,55103
1661,55051
1662,22125
1663,37079
1664,54073
1665,55135
1666,27043
1667,48441
1668,48463
1669,12075
1670,48427
1671,37145
1672,55075
1673,19197
1674,48419
1675,21239
1676,46049
1677,48203
1678,54025
1679,39149
1680,28063
1681,37171
1682,48337
1683,48221
1684,27081
1685,19127
1686,6031
1687,56043
1688,12121
1689,54029
1690,39051
1691,19137
1692,56015
1693,48349
1694,19059
1695,35041
1696,20143
1697,13053
1698,18015
1699,17073
1700,1063
1701,41049
1702,30067
1703,20113
1704,8023
1705,1111
1706,17011
1707,16045
1708,51640
1709,20139
1710,35061
1711,26063
1712,46127
1713,18085
1714,49047
1715,6011
1716,26057
1717,42097
1718,26039
1719,41009
1720,48073
1721,26027
1722,8003
1723,21037
1724,21029
1725,17075
1726,51770
1727,30047
1728,51520
1729,46121
1730,29177
1731,13147
1732,18049
1733,13137
1734,21123
1735,18023
1736,46081
1737,40077
1738,29159
1739,29113
1740,8073
1741,40121
1742,20063
1743,1039
1744,18065
1745,1053
1746,20031
1747,18069
1748,47159
1749,29229
1750,20027
1751,20079
1752,19045
1753,51133
1754,21027
1755,21023
1756,19165
1757,21021
1758,51670
1759,19173
1760,51127
1761,22035
1762,42023
1763,22041
1764,51121
1765,19107
1766,51103
1767,42031
1768,42061
1769,13213
1770,39003
1771,39123
1772,13231
1773,13165
1774,40105
1775,47169
1776,21081
1777,39161
1778,21181
1779,26133
1780,13297
1781,49017
1782,21071
1783,13309
1784,39131
1785,20121
1786,21031
1787,42117
1788,21211
1789,49037
1790,48477
1791,27029
1792,42109
1793,13031
1794,21229
1795,42099
1796,42083
1797,21041
1798,5071
1799,39011
1800,40079
1801,47173
1802,38085
1803,56009
1804,18025
1805,29219
1806,29181
1807,36097
1808,46067
1809,46057
1810,18111
1811,46039
1812,6021
1813,18155
1814,18165
1815,18169
1816,18181
1817,12051
1818,28031
1819,28023
1820,56035
1821,45059
1822,37065
1823,46135
1824,47007
1825,36009
1826,47091
1827,47183
1828,8081
1829,47129
1830,16063
1831,17015
1832,48051
1833,16019
1834,8009
1835,48055
1836,47019
1837,17051
1838,32013
1839,47069
1840,4007
1841,17115
1842,31141
1843,31073
1844,1099
1845,28005
1846,51145
1847,19015
1848,48305
1849,38061
1850,38003
1851,48279
1852,55085
1853,38055
1854,38023
1855,37149
1856,37143
1857,13027
1858,31157
1859,20125
1860,51005
1861,1087
1862,47031
1863,37197
1864,48115
1865,27033
1866,42121
1867,17129
1868,13043
1869,48407
1870,27059
1871,54065
1872,18021
1873,30023
1874,36049
1875,37187
1876,46109
1877,40139
1878,48135
1879,40133
1880,40131
1881,17135
1882,42087
1883,20185
1884,20189
1885,27111
1886,8083
1887,8079
1888,51185
1889,16073
1890,51197
1891,47131
1892,48373
1893,17005
1894,21019
1895,47109
1896,22081
1897,51081
1898,51685
1899,22085
1900,47079
1901,47075
1902,51840
1903,5105
1904,5099
1905,13005
1906,5057
1907,17095
1908,26031
1909,6109
1910,20055
1911,46125
1912,5001
1913,54011
1914,48273
1915,37033
1916,18083
1917,23025
1918,46047
1919,12129
1920,28021
1921,40047
1922,5003
1923,28015
1924,48213
1925,12043
1926,37005
1927,46027
1928,46025
1929,18151
1930,28149
1931,48437
1932,21135
1933,37137
1934,27041
1935,21217
1936,54105
1937,48473
1938,48159
1939,54103
1940,37047
1941,18055
1942,37053
1943,37083
1944,39141
1945,38065
1946,39135
1947,28003
1948,5123
1949,16053
1950,13001
1951,37003
1952,5101
1953,19105
1954,51173
1955,26009
1956,8095
1957,13301
1958,1007
1959,8007
1960,17023
1961,39075
1962,19077
1963,38035
1964,16067
1965,54083
1966,27093
1967,54087
1968,16017
1969,39015
1970,51730
1971,1057
1972,17033
1973,19097
1974,4011
1975,16039
1976,19047
1977,13011
1978,26149
1979,31003
1980,55053
1981,13191
1982,29117
1983,13061
1984,13167
1985,29121
1986,29225
1987,13163
1988,40085
1989,55077
1990,13075
1991,29125
1992,29141
1993,29209
1994,19177
1995,29179
1996,13083
1997,13093
1998,29163
1999,27061
2000,1119
2001,55029
2002,35057
2003,27165
2004,31185
2005,13019
2006,13123
2007,40009
2008,26041
2009,13023
2010,17121
2011,13263
2012,37161
2013,17157
2014,20169
2015,17165
2016,13249
2017,26061
2018,19009
2019,40033
2020,29039
2021,29055
2022,29151
2023,20005
2024,6003
2025,48497
2026,21157
2027,12059
2028,51089
2029,47099
2030,48217
2031,42119
2032,47049
2033,51101
2034,45011
2035,48289
2036,21155
2037,47055
2038,47177
2039,47117
2040,1065
2041,46091
2042,48341
2043,47181
2044,27155
2045,38037
2046,13221
2047,51043
2048,13251
2049,13241
2050,5091
2051,31105
2052,38105
2053,38053
2054,19041
2055,22091
2056,6063
2057,20019
2058,20099
2059,26011
2060,27083
2061,51035
2062,21197
2063,39127
2064,13307
2065,8065
2066,21203
2067,21207
2068,27015
2069,51025
2070,54031
2071,27017
2072,13295
2073,16003
2074,51029
2075,51031
2076,26023
2077,22029
2078,12125
2079,20009
2080,17141
2081,13259
2082,17053
2083,42009
2084,47085
2085,55003
2086,21091
2087,21061
2088,28141
2089,30065
2090,41063
2091,16025
2092,13107
2093,18017
2094,30051
2095,21083
2096,37043
